200	756	727.871
201	733	734.979
202	738.636	742.125
203	736	749.309
204	733.727	756.53
205	748.636	763.79
206	814.818	771.088
207	795.636	778.423
208	772.545	785.796
209	797.818	793.208
210	807.636	800.657
211	810.545	808.144
212	810.273	815.67
213	823.909	823.233
214	842	830.834
215	836.727	838.473
216	836.818	846.15
217	839	853.865
218	867.636	861.618
219	861.727	869.409
220	858.091	877.237
221	871	885.104
222	892.182	893.009
223	910.818	900.951
224	915.545	908.932
225	911.818	916.951
226	930.818	925.007
227	935.818	933.101
228	958.909	941.234
229	930.818	949.404
230	966.182	957.612
231	969.455	965.858
232	958.909	974.143
233	990.091	982.465
234	1010.64	990.825
235	998.636	999.223
236	1006.91	1007.66
237	999.455	1016.13
238	1016.36	1024.64
239	1045.18	1033.19
240	1032.09	1041.78
241	1001.82	1050.41
242	1062	1059.07
243	1078.64	1067.77
244	1076.82	1076.51
245	1075.73	1085.29
246	1085.91	1094.1
247	1128.55	1102.96
248	1103.45	1111.85
249	1118.55	1120.78
250	1124.27	1129.75
251	1172.73	1138.75
252	1150.64	1147.79
253	1140.82	1156.87
254	1181.73	1165.99
255	1179.91	1175.15
256	1176.55	1184.35
257	1214.64	1193.58
258	1212.64	1202.85
259	1199.73	1212.16
260	1220.82	1221.5
261	1227.27	1230.89
262	1239.64	1240.31
263	1251.27	1249.77
264	1244.45	1259.27
265	1260.27	1268.81
266	1290.64	1278.38
267	1276	1287.99
268	1292.45	1297.64
269	1292.45	1307.33
270	1329.91	1317.06
271	1316.64	1326.82
272	1340.82	1336.62
273	1353.73	1346.46
274	1348.64	1356.34
275	1365.45	1366.26
276	1369.27	1376.21
277	1377.18	1386.2
278	1397	1396.23
279	1403.82	1406.3
280	1427.91	1416.4
281	1411.91	1426.55
282	1474.45	1436.73
283	1447.73	1446.95
284	1457.27	1457.21
285	1483.09	1467.5
286	1495.18	1477.83
287	1492.91	1488.21
288	1554.36	1498.61
289	1552.91	1509.06
290	1508.27	1519.55
291	1500.18	1530.07
292	1560.18	1540.63
293	1518.45	1551.23
294	1551.09	1561.87
295	1550.45	1572.54
296	1554.27	1583.25
297	1607.18	1594
298	1592.91	1604.79
299	1624.45	1615.62
300	1612.27	1626.48
